PRIME,AB,A,B,INDEX
13121391111013,KQK9J1TK,KQK9,J1TK,19TJQKKK
13121391111013,KQK91JTK,KQK9,1JTK,19TJQKKK
11137131271111,JK7KQ7JJ,JK7K,Q7JJ,77JJJQKK
11137135121113,JK7K5QJK,JK7K,5QJK,57JJQKKK
11137131210211,JK7KQT2J,JK7K,QT2J,27TJJQKK
11137131110713,JK7KJT7K,JK7K,JT7K,77TJJKKK
11137131221113,JK7KQ2JK,JK7K,Q2JK,27JJQKKK
11137132101313,JK7K2TKK,JK7K,2TKK,27TJKKKK
11137131310117,JK7KKTJ7,JK7K,KTJ7,77TJJKKK
11137131312133,JK7KKQK3,JK7K,KQK3,37JQKKKK
11137131313813,JK7KKK8K,JK7K,KK8K,78JKKKKK
11137131113137,JK7KJKK7,JK7K,JKK7,77JJKKKK
21012132101111,2TQK2TJJ,2TQK,2TJJ,22TTJJQK
21012131112113,2TQKJQ1K,2TQK,JQ1K,12TJQQKK
21012131351213,2TQKK5QK,2TQK,K5QK,25TQQKKK
21012138111011,2TQK8JTJ,2TQK,8JTJ,28TTJJQK
21012131112911,2TQKJQ9J,2TQK,JQ9J,29TJJQQK
21012131312813,2TQKKQ8K,2TQK,KQ8K,28TQQKKK
21012137101313,2TQK7TKK,2TQK,7TKK,27TTQKKK
21012131112113,2TQKJQJ3,2TQK,JQJ3,23TJJQQK
21012133131113,2TQK3KJK,2TQK,3KJK,23TJQKKK
21012131010131,2TQKTTK1,2TQK,TTK1,12TTTQKK
21012134121311,2TQK4QKJ,2TQK,4QKJ,24TJQQKK
21012131310311,2TQKKT3J,2TQK,KT3J,23TTJQKK
51211131381313,5QJKK8KK,5QJK,K8KK,58JQKKKK
51211131312139,5QJKKQK9,5QJK,KQK9,59JQQKKK
51211131310123,5QJKKTQ3,5QJK,KTQ3,35TJQQKK
51211131213133,5QJKQKK3,5QJK,QKK3,35JQQKKK
51211131111211,5QJK1JQJ,5QJK,1JQJ,15JJJQQK
51211131111211,5QJKJJ2J,5QJK,JJ2J,25JJJJQK
51211132101313,5QJK2TKK,5QJK,2TKK,25TJQKKK
51211131210103,5QJKQTT3,5QJK,QTT3,35TTJQQK
51211131013711,5QJKTK7J,5QJK,TK7J,57TJJQKK
51211131211813,5QJKQJ8K,5QJK,QJ8K,58JJQQKK
51211131110413,5QJKJT4K,5QJK,JT4K,45TJJQKK
51211131111211,5QJKJ1QJ,5QJK,J1QJ,15JJJQQK
51211131261313,5QJKQ6KK,5QJK,Q6KK,56JQQKKK
51211131212611,5QJKQQ6J,5QJK,QQ6J,56JJQQQK
10121331271111,TQK3Q7JJ,TQK3,Q7JJ,37TJJQQK
10121331312139,TQK3KQK9,TQK3,KQK9,39TQQKKK
10121335121113,TQK35QJK,TQK3,5QJK,35TJQQKK
10121331071311,TQK3T7KJ,TQK3,T7KJ,37TTJQKK
10121332101313,TQK32TKK,TQK3,2TKK,23TTQKKK
10121336111011,TQK36JTJ,TQK3,6JTJ,36TTJJQK
10121331311131,TQK3KJK1,TQK3,KJK1,13TJQKKK
10121331010129,TQK3TTQ9,TQK3,TTQ9,39TTTQQK
81210134121113,8QTK4QJK,8QTK,4QJK,48TJQQKK
81210135111011,8QTK5JTJ,8QTK,5JTJ,58TTJJQK
81210135121211,8QTK5QQJ,8QTK,5QQJ,58TJQQQK
81210131310137,8QTKKTK7,8QTK,KTK7,78TTQKKK
81210131112611,8QTKJQ6J,8QTK,JQ6J,68TJJQQK
81210131361011,8QTKK6TJ,8QTK,K6TJ,68TTJQKK
81210131112413,8QTKJQ4K,8QTK,JQ4K,48TJQQKK
81210133111313,8QTK3JKK,8QTK,3JKK,38TJQKKK
81210131121011,8QTKJ2TJ,8QTK,J2TJ,28TTJJQK
81210131071313,8QTKT7KK,8QTK,T7KK,78TTQKKK
81210133101311,8QTK3TKJ,8QTK,3TKJ,38TTJQKK
81210131121011,8QTK1QTJ,8QTK,1QTJ,18TTJQQK
81210131381111,8QTKK8JJ,8QTK,K8JJ,88TJJQKK
51110111381213,5JTJK8QK,5JTJ,K8QK,58TJJQKK
51110111161313,5JTJJ6KK,5JTJ,J6KK,56TJJJKK
51110111101211,5JTJ1TQJ,5JTJ,1TQJ,15TTJJJQ
51110111391011,5JTJK9TJ,5JTJ,K9TJ,59TTJJJK
51110115121211,5JTJ5QQJ,5JTJ,5QQJ,55TJJJQQ
51110111311109,5JTJKJT9,5JTJ,KJT9,59TTJJJK
51110116111013,5JTJ6JTK,5JTJ,6JTK,56TTJJJK
51110111310119,5JTJKTJ9,5JTJ,KTJ9,59TTJJJK
51110111310611,5JTJKT6J,5JTJ,KT6J,56TTJJJK
51110111191313,5JTJJ9KK,5JTJ,J9KK,59TJJJKK
51110111061311,5JTJT6KJ,5JTJ,T6KJ,56TTJJJK
51110111111711,5JTJJJ7J,5JTJ,JJ7J,57TJJJJJ
13511112101213,K5JJ2TQK,K5JJ,2TQK,25TJJQKK
13511118121013,K5JJ8QTK,K5JJ,8QTK,58TJJQKK
13511111281211,K5JJQ8QJ,K5JJ,Q8QJ,58JJJQQK
13511112101111,K5JJ2TJJ,K5JJ,2TJJ,25TJJJJK
13511111210123,K5JJQTQ3,K5JJ,QTQ3,35TJJQQK
13511111311109,K5JJKJT9,K5JJ,KJT9,59TJJJKK
13511111112413,K5JJJQ4K,K5JJ,JQ4K,45JJJQKK
13511114101313,K5JJ4TKK,K5JJ,4TKK,45TJJKKK
13511111210411,K5JJQT4J,K5JJ,QT4J,45TJJJQK
13101231010411,KTQ3TT4J,KTQ3,TT4J,34TTTJQK
61313111101211,6KKJ1TQJ,6KKJ,1TQJ,16TJJQKK
61313115121211,6KKJ5QQJ,6KKJ,5QQJ,56JJQQKK
61313111210123,6KKJQTQ3,6KKJ,QTQ3,36TJQQKK
61313111011013,6KKJT1TK,6KKJ,T1TK,16TTJKKK
61313115131111,6KKJ5KJJ,6KKJ,5KJJ,56JJJKKK
61313111312813,6KKJKQ8K,6KKJ,KQ8K,68JQKKKK
61313111312513,6KKJKQ5K,6KKJ,KQ5K,56JQKKKK
61313111213129,6KKJQKQ9,6KKJ,QKQ9,69JQQKKK
61313111212103,6KKJQQT3,6KKJ,QQT3,36TJQQKK
61313113101311,6KKJ3TKJ,6KKJ,3TKJ,36TJJKKK
10111371381313,TJK7K8KK,TJK7,K8KK,78TJKKKK
10111371210211,TJK7QT2J,TJK7,QT2J,27TTJJQK
10111371211411,TJK7QJ4J,TJK7,QJ4J,47TJJJQK
10111376101111,TJK76TJJ,TJK7,6TJJ,67TTJJJK
13124111110127,KQ4JJTQ7,KQ4J,JTQ7,47TJJQQK
13124111391011,KQ4JK9TJ,KQ4J,K9TJ,49TJJQKK
13124111351213,KQ4JK5QK,KQ4J,K5QK,45JQQKKK
13124111112911,KQ4JJQ9J,KQ4J,JQ9J,49JJJQQK
13124116101311,KQ4J6TKJ,KQ4J,6TKJ,46TJJQKK
13124111191313,KQ4JJ9KK,KQ4J,J9KK,49JJQKKK
13124111210411,KQ4JQT4J,KQ4J,QT4J,44TJJQQK
13124113101311,KQ4J3TKJ,KQ4J,3TKJ,34TJJQKK
13124111112131,KQ4JJQK1,KQ4J,JQK1,14JJQQKK
12912111012133,Q9QJTQK3,Q9QJ,TQK3,39TJQQQK
12912115131211,Q9QJ5KQJ,Q9QJ,5KQJ,59JJQQQK
12912111112513,Q9QJJQ5K,Q9QJ,JQ5K,59JJQQQK
12912111211411,Q9QJQJ4J,Q9QJ,QJ4J,49JJJQQQ
12912118121011,Q9QJ8QTJ,Q9QJ,8QTJ,89TJJQQQ
12912111012811,Q9QJTQ8J,Q9QJ,TQ8J,89TJJQQQ
12912114101011,Q9QJ4TTJ,Q9QJ,4TTJ,49TTJJQQ
12912111313813,Q9QJKK8K,Q9QJ,KK8K,89JQQKKK
12912111112129,Q9QJJQQ9,Q9QJ,JQQ9,99JJQQQQ
12912111371113,Q9QJK7JK,Q9QJ,K7JK,79JJQQKK
12912111010411,Q9QJTT4J,Q9QJ,TT4J,49TTJJQQ
12912111010129,Q9QJTTQ9,Q9QJ,TTQ9,99TTJQQQ
12912111213913,Q9QJQK9K,Q9QJ,QK9K,99JQQQKK
12812118121013,Q8QJ8QTK,Q8QJ,8QTK,88TJQQQK
12812111101211,Q8QJ1TQJ,Q8QJ,1TQJ,18TJJQQQ
12812111391011,Q8QJK9TJ,Q8QJ,K9TJ,89TJJQQK
12812111112611,Q8QJJQ6J,Q8QJ,JQ6J,68JJJQQQ
12812111112113,Q8QJJQ1K,Q8QJ,JQ1K,18JJQQQK
12812111151113,Q8QJJ5JK,Q8QJ,J5JK,58JJJQQK
12812111312813,Q8QJKQ8K,Q8QJ,KQ8K,88JQQQKK
12812111110313,Q8QJJT3K,Q8QJ,JT3K,38TJJQQK
12812111012513,Q8QJTQ5K,Q8QJ,TQ5K,58TJQQQK
12812111110103,Q8QJJTT3,Q8QJ,JTT3,38TTJJQQ
12812117101313,Q8QJ7TKK,Q8QJ,7TKK,78TJQQKK
12812111112113,Q8QJJQJ3,Q8QJ,JQJ3,38JJJQQQ
12812113131113,Q8QJ3KJK,Q8QJ,3KJK,38JJQQKK
12812111212613,Q8QJQQ6K,Q8QJ,QQ6K,68JQQQQK
12812111121011,Q8QJJ2TJ,Q8QJ,J2TJ,28TJJJQQ
12812111310311,Q8QJKT3J,Q8QJ,KT3J,38TJJQQK
12812111112131,Q8QJJQK1,Q8QJ,JQK1,18JJQQQK
12812111121011,Q8QJ1QTJ,Q8QJ,1QTJ,18TJJQQQ
12812111113103,Q8QJJKT3,Q8QJ,JKT3,38TJJQQK
11112131110127,JJ2KJTQ7,JJ2K,JTQ7,27TJJJQK
11112131211911,JJ2KQJ9J,JJ2K,QJ9J,29JJJJQK
11112131210123,JJ2KQTQ3,JJ2K,QTQ3,23TJJQQK
11112131112611,JJ2KJQ6J,JJ2K,JQ6J,26JJJJQK
11112131112413,JJ2KJQ4K,JJ2K,JQ4K,24JJJQKK
11112131291111,JJ2KQ9JJ,JJ2K,Q9JJ,29JJJJQK
11112131171111,JJ2KJ7JJ,JJ2K,J7JJ,27JJJJJK
11112131213129,JJ2KQKQ9,JJ2K,QKQ9,29JJQQKK
11112131191013,JJ2KJ9TK,JJ2K,J9TK,29TJJJKK
11112131010131,JJ2KTTK1,JJ2K,TTK1,12TTJJKK
12102115101211,QT2J5TQJ,QT2J,5TQJ,25TTJJQQ
12102111213109,QT2JQKT9,QT2J,QKT9,29TTJQQK
12102111113713,QT2JJK7K,QT2J,JK7K,27TJJQKK
12102111310123,QT2JKTQ3,QT2J,KTQ3,23TTJQQK
12102115131013,QT2J5KTK,QT2J,5KTK,25TTJQKK
12102111221113,QT2JQ2JK,QT2J,Q2JK,22TJJQQK
12102111210103,QT2JQTT3,QT2J,QTT3,23TTTJQQ
12102111161011,QT2JJ6TJ,QT2J,J6TJ,26TTJJJQ
12102111112513,QT2JJQ5K,QT2J,JQ5K,25TJJQQK
12102111013711,QT2JTK7J,QT2J,TK7J,27TTJJQK
12102111110311,QT2JJT3J,QT2J,JT3J,23TTJJJQ
10513131111211,T5KK1JQJ,T5KK,1JQJ,15TJJQKK
10513132131013,T5KK2KTK,T5KK,2KTK,25TTKKKK
10513131111211,T5KKJJ2J,T5KK,JJ2J,25TJJJKK
10513131210103,T5KKQTT3,T5KK,QTT3,35TTTQKK
10513131041311,T5KKT4KJ,T5KK,T4KJ,45TTJKKK
10513131111211,T5KKJ1QJ,T5KK,J1QJ,15TJJQKK
10513136101213,T5KK6TQK,T5KK,6TQK,56TTQKKK
10513136111011,T5KK6JTJ,T5KK,6JTJ,56TTJJKK
10513131212611,T5KKQQ6J,T5KK,QQ6J,56TJQQKK
10713111231313,T7KJQ3KK,T7KJ,Q3KK,37TJQKKK
10713111213109,T7KJQKT9,T7KJ,QKT9,79TTJQKK
10713111310123,T7KJKTQ3,T7KJ,KTQ3,37TTJQKK
10713111111211,T7KJ1JQJ,T7KJ,1JQJ,17TJJJQK
10713111311311,T7KJKJ3J,T7KJ,KJ3J,37TJJJKK
10713111111211,T7KJJJ2J,T7KJ,JJ2J,27TJJJJK
10713111013711,T7KJTK7J,T7KJ,TK7J,77TTJJKK
10713116101111,T7KJ6TJJ,T7KJ,6TJJ,67TTJJJK
10713111111211,T7KJJ1QJ,T7KJ,J1QJ,17TJJJQK
10713111313813,T7KJKK8K,T7KJ,KK8K,78TJKKKK
10713111311131,T7KJKJK1,T7KJ,KJK1,17TJJKKK
10713111311311,T7KJK1KJ,T7KJ,K1KJ,17TJJKKK
10713111212611,T7KJQQ6J,T7KJ,QQ6J,67TJJQQK
12131335101211,QKK35TQJ,QKK3,5TQJ,35TJQQKK
12131331381313,QKK3K8KK,QKK3,K8KK,38QKKKKK
12131331041311,QKK3T4KJ,QKK3,T4KJ,34TJQKKK
12131331111013,QKK3J1TK,QKK3,J1TK,13TJQKKK
12131331010411,QKK3TT4J,QKK3,TT4J,34TTJQKK
12131331191011,QKK3J9TJ,QKK3,J9TJ,39TJJQKK
12131331111013,QKK31JTK,QKK3,1JTK,13TJQKKK
11101275111011,JTQ75JTJ,JTQ7,5JTJ,57TTJJJQ
11101272101111,JTQ72TJJ,JTQ7,2TJJ,27TTJJJQ
11101271210123,JTQ7QTQ3,JTQ7,QTQ3,37TTJQQQ
11101271313911,JTQ7KK9J,JTQ7,KK9J,79TJJQKK
11101279131011,JTQ79KTJ,JTQ7,9KTJ,79TTJJQK
11101271310119,JTQ7KTJ9,JTQ7,KTJ9,79TTJJQK
11101271310611,JTQ7KT6J,JTQ7,KT6J,67TTJJQK
11101279121213,JTQ79QQK,JTQ7,9QQK,79TJQQQK
11101271191313,JTQ7J9KK,JTQ7,J9KK,79TJJQKK
11101271212121,JTQ7QQQ1,JTQ7,QQQ1,17TJQQQQ
11101271010131,JTQ7TTK1,JTQ7,TTK1,17TTTJQK
11101271212613,JTQ7QQ6K,JTQ7,QQ6K,67TJQQQK
11101271311103,JTQ7KJT3,JTQ7,KJT3,37TTJJQK
11101271012411,JTQ7TQ4J,JTQ7,TQ4J,47TTJJQQ
11101271321213,JTQ7K2QK,JTQ7,K2QK,27TJQQKK
11107135101211,JT7K5TQJ,JT7K,5TQJ,57TTJJQK
11107131312139,JT7KKQK9,JT7K,KQK9,79TJQKKK
11107135121113,JT7K5QJK,JT7K,5QJK,57TJJQKK
11107131312133,JT7KKQK3,JT7K,KQK3,37TJQKKK
11107136101111,JT7K6TJJ,JT7K,6TJJ,67TTJJJK
11107131010411,JT7KTT4J,JT7K,TT4J,47TTTJJK
11107131110611,JT7KJT6J,JT7K,JT6J,67TTJJJK
13812131351111,K8QKK5JJ,K8QK,K5JJ,58JJQKKK
13812131112113,K8QKJQ1K,K8QK,JQ1K,18JQQKKK
13812132111311,K8QK2JKJ,K8QK,2JKJ,28JJQKKK
13812131112911,K8QKJQ9J,K8QK,JQ9J,89JJQQKK
13812131310119,K8QKKTJ9,K8QK,KTJ9,89TJQKKK
13812131310611,K8QKKT6J,K8QK,KT6J,68TJQKKK
13812131112413,K8QKJQ4K,K8QK,JQ4K,48JQQKKK
13812131110913,K8QKJT9K,K8QK,JT9K,89TJQKKK
13812134101313,K8QK4TKK,K8QK,4TKK,48TQKKKK
13812131112113,K8QKJQJ3,K8QK,JQJ3,38JJQQKK
13812131212613,K8QKQQ6K,K8QK,QQ6K,68QQQKKK
13812134121311,K8QK4QKJ,K8QK,4QKJ,48JQQKKK
13812131311103,K8QKKJT3,K8QK,KJT3,38TJQKKK
13812131321213,K8QKK2QK,K8QK,K2QK,28QQKKKK
13911134121113,K9JK4QJK,K9JK,4QJK,49JJQKKK
13911131110127,K9JKJTQ7,K9JK,JTQ7,79TJJQKK
13911131391011,K9JKK9TJ,K9JK,K9TJ,99TJJKKK
13911135131111,K9JK5KJJ,K9JK,5KJJ,59JJJKKK
13911131310611,K9JKKT6J,K9JK,KT6J,69TJJKKK
13911131110313,K9JKJT3K,K9JK,JT3K,39TJJKKK
13911137111213,K9JK7JQK,K9JK,7JQK,79JJQKKK
13911131212613,K9JKQQ6K,K9JK,QQ6K,69JQQKKK
13911131012411,K9JKTQ4J,K9JK,TQ4J,49TJJQKK
11613132101111,J6KK2TJJ,J6KK,2TJJ,26TJJJKK
11613131213213,J6KKQK2K,J6KK,QK2K,26JQKKKK
11613131151113,J6KKJ5JK,J6KK,J5JK,56JJJKKK
11613138111011,J6KK8JTJ,J6KK,8JTJ,68TJJJKK
11613131313911,J6KKKK9J,J6KK,KK9J,69JJKKKK
11613131361011,J6KKK6TJ,J6KK,K6TJ,66TJJKKK
11613134111213,J6KK4JQK,J6KK,4JQK,46JJQKKK
11613131171111,J6KKJ7JJ,J6KK,J7JJ,67JJJJKK
11613131191313,J6KKJ9KK,J6KK,J9KK,69JJKKKK
11613131212121,J6KKQQQ1,J6KK,QQQ1,16JQQQKK
11613131110103,J6KKJTT3,J6KK,JTT3,36TTJJKK
11613133131311,J6KK3KKJ,J6KK,3KKJ,36JJKKKK
11613131210711,J6KKQT7J,J6KK,QT7J,67TJJQKK
11112111231313,1JQJQ3KK,1JQJ,Q3KK,13JJQQKK
11112111251011,1JQJQ5TJ,1JQJ,Q5TJ,15TJJJQQ
11112112101313,1JQJ2TKK,1JQJ,2TKK,12TJJQKK
11112111013711,1JQJTK7J,1JQJ,TK7J,17TJJJQK
11112111141013,1JQJJ4TK,1JQJ,J4TK,14TJJJQK
11112111212119,1JQJQQJ9,1JQJ,QQJ9,19JJJQQQ
11112111110413,1JQJJT4K,1JQJ,JT4K,14TJJJQK
11112111012811,1JQJTQ8J,1JQJ,TQ8J,18TJJJQQ
11112111010411,1JQJTT4J,1JQJ,TT4J,14TTJJJQ
11112111110311,1JQJJT3J,1JQJ,JT3J,13TJJJJQ
11112111210127,1JQJQTQ7,1JQJ,QTQ7,17TJJQQQ
11112111212611,1JQJQQ6J,1JQJ,QQ6J,16JJJQQQ
51312111012133,5KQJTQK3,5KQJ,TQK3,35TJQQKK
51312111011137,5KQJTJK7,5KQJ,TJK7,57TJJQKK
51312111211813,5KQJQJ8K,5KQJ,QJ8K,58JJQQKK
51312111212119,5KQJQQJ9,5KQJ,QQJ9,59JJQQQK
51312111371113,5KQJK7JK,5KQJ,K7JK,57JJQKKK
51312111110311,5KQJJT3J,5KQJ,JT3J,35TJJJQK
10111071011137,TJT7TJK7,TJT7,TJK7,77TTTJJK
10111071051313,TJT7T5KK,TJT7,T5KK,57TTTJKK
10111071110713,TJT7JT7K,TJT7,JT7K,77TTTJJK
10111071131113,TJT71KJK,TJT7,1KJK,17TTJJKK
10111071131113,TJT7J3JK,TJT7,J3JK,37TTJJJK
10111071012811,TJT7TQ8J,TJT7,TQ8J,78TTTJJQ
10111076111011,TJT76JTJ,TJT7,6JTJ,67TTTJJJ
10111071213913,TJT7QK9K,TJT7,QK9K,79TTJQKK
12510111271111,Q5TJQ7JJ,Q5TJ,Q7JJ,57TJJJQQ
12510111271213,Q5TJQ7QK,Q5TJ,Q7QK,57TJQQQK
12510111213109,Q5TJQKT9,Q5TJ,QKT9,59TTJQQK
12510115121113,Q5TJ5QJK,Q5TJ,5QJK,55TJJQQK
12510111110713,Q5TJJT7K,Q5TJ,JT7K,57TTJJQK
12510111311311,Q5TJKJ3J,Q5TJ,KJ3J,35TJJJQK
12510111312133,Q5TJKQK3,Q5TJ,KQK3,35TJQQKK
12510116101213,Q5TJ6TQK,Q5TJ,6TQK,56TTJQQK
12510111010129,Q5TJTTQ9,Q5TJ,TTQ9,59TTTJQQ
12510111311311,Q5TJK1KJ,Q5TJ,K1KJ,15TJJQKK
12510111213913,Q5TJQK9K,Q5TJ,QK9K,59TJQQKK
11012111281211,1TQJQ8QJ,1TQJ,Q8QJ,18TJJQQQ
11012111210123,1TQJQTQ3,1TQJ,QTQ3,13TTJQQQ
11012111013713,1TQJTK7K,1TQJ,TK7K,17TTJQKK
11012112111311,1TQJ2JKJ,1TQJ,2JKJ,12TJJJQK
11012111313911,1TQJKK9J,1TQJ,KK9J,19TJJQKK
11012111191313,1TQJJ9KK,1TQJ,J9KK,19TJJQKK
11012111212811,1TQJQQ8J,1TQJ,QQ8J,18TJJQQQ
11012113131113,1TQJ3KJK,1TQJ,3KJK,13TJJQKK
11012111210411,1TQJQT4J,1TQJ,QT4J,14TTJJQQ
11012111112131,1TQJJQK1,1TQJ,JQK1,11TJJQQK
13910114131313,K9TJ4KKK,K9TJ,4KKK,49TJKKKK
13910116131311,K9TJ6KKJ,K9TJ,6KKJ,69TJJKKK
13910111213213,K9TJQK2K,K9TJ,QK2K,29TJQKKK
13910111013713,K9TJTK7K,K9TJ,TK7K,79TTJKKK
13910111112413,K9TJJQ4K,K9TJ,JQ4K,49TJJQKK
13910114101313,K9TJ4TKK,K9TJ,4TKK,49TTJKKK
13910114111213,K9TJ4JQK,K9TJ,4JQK,49TJJQKK
13910116101311,K9TJ6TKJ,K9TJ,6TKJ,69TTJJKK
13910118131111,K9TJ8KJJ,K9TJ,8KJJ,89TJJJKK
13910111071313,K9TJT7KK,K9TJ,T7KK,79TTJKKK
13910111210711,K9TJQT7J,K9TJ,QT7J,79TTJJQK
13113111231313,KJ3JQ3KK,KJ3J,Q3KK,33JJQKKK
13113111221113,KJ3JQ2JK,KJ3J,Q2JK,23JJJQKK
13113111161113,KJ3JJ6JK,KJ3J,J6JK,36JJJJKK
